,ts_year,model,te_true,te_hat,error
1196,1996,dml,18.907350844566487,17.58810163011928,-1.3192492144472077
1197,1997,dml,18.55910972681184,17.687098523130423,-0.8720112036814136
1198,1998,dml,21.27284784275898,18.17902763218325,-3.093820210575732
1199,1999,dml,22.502272746324948,18.50386746666416,-3.998405279660787
1200,1900,dml,14.487282583069131,8.708412708699614,-5.778869874369519
1201,1901,dml,14.700943759977754,4.737174046929795,-9.96376971304796
1202,1902,dml,15.256816019735744,6.414683548517009,-8.842132471218736
1203,1903,dml,14.184064847874998,7.801190288610283,-6.382874559264715
1204,1904,dml,13.61113062476378,11.950300733707216,-1.660829891056563
1205,1905,dml,15.631380703843496,10.047772450266075,-5.58360825357742
1206,1906,dml,14.64172866295746,9.023181312604558,-5.618547350352902
1207,1907,dml,13.604969024756258,8.103917646329949,-5.501051378426309
1208,1908,dml,14.011913798829797,7.168156700780181,-6.843757098049616
1209,1909,dml,13.416215103156569,10.538598900513588,-2.877616202642981
1210,1910,dml,14.413157409488935,10.2920214148136,-4.121135994675338
1211,1911,dml,16.245305152302475,10.94581549579027,-5.299489656512204
1212,1912,dml,15.029510627165616,8.247114155424368,-6.782396471741247
1213,1913,dml,14.71308326569473,12.51786156770783,-2.1952216979868986
1214,1914,dml,18.517665177461165,14.650907915357037,-3.866757262104128
1215,1915,dml,14.724623976545889,13.144011219980491,-1.5806127565653956
1216,1916,dml,14.470547959024794,14.534471411839776,0.063923452814981
1217,1917,dml,16.394583235523434,14.235554421795678,-2.1590288137277565
1218,1918,dml,16.83282277374691,15.486207173136238,-1.3466156006106704
1219,1919,dml,15.689325670629534,11.539366022787236,-4.149959647842298
1220,1920,dml,16.733471245671403,12.834529372699413,-3.8989418729719914
1221,1921,dml,16.79690801586903,14.84160290202893,-1.9553051138400992
1222,1922,dml,17.435213222876413,12.165314030538894,-5.269899192337519
1223,1923,dml,16.739484962250856,14.515384885959923,-2.2241000762909326
1224,1924,dml,15.67003085107292,14.564184970171238,-1.105845880901683
1225,1925,dml,18.4027652476676,14.471850054595976,-3.9309151930716215
1226,1926,dml,16.177477990411838,10.059096438872963,-6.118381551538873
1227,1927,dml,16.068219615720047,15.093443982462396,-0.9747756332576518
1228,1928,dml,16.348952325915512,17.911335390164314,1.5623830642488024
1229,1929,dml,16.78215642900731,16.42945913598089,-0.35269729302642
1230,1930,dml,16.298285476587285,13.369018388915912,-2.929267087671372
1231,1931,dml,14.965649315070609,12.86569819774462,-2.099951117325986
1232,1932,dml,17.49767260906784,13.531440927496185,-3.966231681571657
1233,1933,dml,16.580281572788586,15.609079404983715,-0.9712021678048705
1234,1934,dml,18.32063555295069,16.14920629581883,-2.1714292571318623
1235,1935,dml,18.746467722875085,17.15903950998241,-1.587428212892675
1236,1936,dml,17.451185526912433,22.08861365463581,4.637428127723378
1237,1937,dml,20.828488405518502,17.412688465372735,-3.4157999401457677
1238,1938,dml,22.386860748598234,22.97937592919671,0.5925151805984754
1239,1939,dml,16.714699642300733,19.22463720043959,2.5099375581388585
1240,1940,dml,18.634931863048937,16.3570044913282,-2.277927371720736
1241,1941,dml,17.857510681497608,15.695284288745944,-2.1622263927516627
1242,1942,dml,19.877139209691297,15.965676717355471,-3.9114624923358257
1243,1943,dml,21.872892020313,22.48668395287244,0.6137919325594403
1244,1944,dml,24.078307811632957,29.822127873172523,5.743820061539569
1245,1945,dml,21.272709744635925,13.154117223050244,-8.118592521585681
1246,1946,dml,24.74144724134696,23.681691841327904,-1.0597554000190534
1247,1947,dml,24.624777916581326,23.358953579847405,-1.265824336733921
1248,1948,dml,19.589057739119276,23.879131542038326,4.2900738029190535
1249,1949,dml,21.861127290666627,19.608073248603365,-2.253054042063262
1250,1950,dml,23.0181530504694,25.43928382443616,2.4211307739667625
1251,1951,dml,20.74341412338984,19.30100741068196,-1.4424067127078786
1252,1952,dml,24.883533554611382,22.61260670579749,-2.2709268488138967
1253,1953,dml,21.796978486126974,19.44400314679707,-2.352975339329909
1254,1954,dml,25.04845611160876,22.714695522873757,-2.333760588735004
1255,1955,dml,23.39416170051305,21.5433363045008,-1.8508253960122545
1256,1956,dml,23.753314358336056,26.11443922222781,2.361124863891757
1257,1957,dml,22.800807390473008,15.607415590194412,-7.193391800278596
1258,1958,dml,26.926176216421364,21.88329059348304,-5.0428856229383285
1259,1959,dml,24.474601153117007,22.43223969668997,-2.0423614564270345
1260,1960,dml,25.947768640485624,22.99768399940831,-2.9500846410773143
1261,1961,dml,24.99259324890535,19.238651104210145,-5.7539421446952055
1262,1962,dml,28.16796374658541,22.411191853182554,-5.756771893402856
1263,1963,dml,25.624818131651992,16.04499583948086,-9.579822292171134
1264,1964,dml,28.103493072268943,18.158723260776934,-9.944769811492003
1265,1965,dml,31.50790016659955,22.492973385099237,-9.014926781500318
1266,1966,dml,33.18015975202595,25.996264000743565,-7.183895751282385
1267,1967,dml,31.13622171428871,25.595194416723498,-5.541027297565211
1268,1968,dml,30.22960183950229,26.647324108287805,-3.582277731214486
1269,1969,dml,27.43411574451746,17.472011015395772,-9.962104729121688
1270,1970,dml,29.209253755806674,23.94779305149924,-5.261460704307439
1271,1971,dml,28.457974044273893,23.814840408120247,-4.643133636153646
1272,1972,dml,30.649976992926884,14.568991343391312,-16.08098564953557
1273,1973,dml,32.37988657871846,20.736528370723786,-11.64335820799468
1274,1974,dml,31.298942708950623,16.721306346429863,-14.57763636252076
1275,1975,dml,27.26877257674788,18.67349903722149,-8.595273539526392
1276,1976,dml,31.174634326048015,12.566771428251087,-18.607862897796927
1277,1977,dml,32.723029312581225,22.173528379562843,-10.549500933018384
1278,1978,dml,34.284441702401345,19.385174068211004,-14.89926763419034
1279,1979,dml,34.93887159287155,16.747877781738946,-18.190993811132603
1280,1980,dml,37.61445161611996,19.984379117023398,-17.630072499096563
1281,1981,dml,38.62967959241343,19.948956714998737,-18.68072287741469
1282,1982,dml,39.213248788315134,20.486092796467503,-18.72715599184763
1283,1983,dml,36.96099443231632,22.282996860855818,-14.677997571460502
1284,1984,dml,44.526739291427454,20.535425422392084,-23.99131386903537
1285,1985,dml,36.981401155392,14.727157713453607,-22.254243441938392
1286,1986,dml,41.69524579006274,23.431468783531468,-18.263777006531274
1287,1987,dml,38.62564591885211,12.412388709426304,-26.213257209425805
1288,1988,dml,33.47237286131398,16.71864303371346,-16.75372982760052
1289,1989,dml,34.84983908107751,15.66317145155068,-19.18666762952683
1290,1990,dml,36.89204622897443,18.37033176679653,-18.521714462177897
1291,1991,dml,40.59348065473028,21.430713165716217,-19.162767489014065
1292,1992,dml,41.45130106410297,21.328536698855952,-20.12276436524702
1293,1993,dml,44.29952515366953,23.548005830101857,-20.75151932356767
1294,1994,dml,46.59210273800314,10.291938710047123,-36.300164027956015
1295,1995,dml,44.64435857910004,18.4254399141041,-26.218918664995936
1296,1996,dml,43.50664772440701,14.370067106399306,-29.136580618007702
1297,1997,dml,41.11607391088446,13.902176766101212,-27.21389714478325
1298,1998,dml,43.18324473471231,9.593847966080318,-33.58939676863199
1299,1999,dml,46.32707757305364,5.402782932172599,-40.92429464088104
1300,1900,dml,14.888584020794577,12.78658099263156,-2.1020030281630167
1301,1901,dml,14.174932772397808,12.100255770979366,-2.0746770014184417
1302,1902,dml,14.7553387513876,12.653334653337684,-2.102004098049917
1303,1903,dml,14.645567574858124,12.463018510846084,-2.1825490640120417
1304,1904,dml,14.630881209127644,12.835388025326331,-1.7954931838013106
1305,1905,dml,14.529209675043369,12.68353546273938,-1.8456742123039864
1306,1906,dml,14.452737818018166,12.55401661336202,-1.8987212046561464
1307,1907,dml,14.505941950625315,13.518402274776346,-0.9875396758489696
1308,1908,dml,14.438336128750484,13.137525396930098,-1.3008107318203876
1309,1909,dml,14.717046954469076,12.638082111815589,-2.078964842653489
1310,1910,dml,14.573505486493811,12.866298833687738,-1.7072066528060734
1311,1911,dml,14.839955441109195,12.669902745143666,-2.170052695965529
1312,1912,dml,15.48004716411284,12.956219623905,-2.52382754020784
1313,1913,dml,15.27066159749261,12.951536602649773,-2.319124994842838
1314,1914,dml,14.819402009933963,13.336859003528716,-1.4825430064052458
1315,1915,dml,15.291306680465604,12.40548944943053,-2.885817231035075
1316,1916,dml,15.152128702502695,12.307483818121252,-2.844644884381445
1317,1917,dml,15.53032838287328,13.511542495531842,-2.018785887341439
