wbcode2,year,y,unrest,dem,logpop,pop14,pop1564,tradewb,nfagdp,democ,rever,l1,l2,l3,l4
146,1986,642.65167236328125,0,1,1514.3004039488453,44.3254255910921,53.4042514830662,96.0197525024414,-89.9,0,0,640.58203125,639.2528076171875,642.27471923828125,641.8214111328125
146,1987,642.92657470703125,0,1,1516.7576244944246,43.8443401229678,53.8595985618055,94.521270751953125,-101.2,0,0,642.65167236328125,640.58203125,639.2528076171875,642.27471923828125
146,1988,643.369873046875,0,1,1519.1815944984355,43.2613604771222,54.4230492926823,92.923431396484375,-74.6,0,0,642.92657470703125,642.65167236328125,640.58203125,639.2528076171875
146,1989,639.51666259765625,1,1,1521.6054411127789,42.7005579426855,54.9725366404052,92.57012176513672,-85.3,0,0,643.369873046875,642.92657470703125,642.65167236328125,640.58203125
146,1990,634.01312255859375,1,1,1524.0521418604653,42.2272717761814,55.4429720943466,93.37129211425781,-109.8,0,0,639.51666259765625,643.369873046875,642.92657470703125,642.65167236328125
146,1991,640.6634521484375,1,1,1526.5233371198035,41.8136324526922,55.8196714964783,91.21156311035156,-98.3,0,0,634.01312255859375,639.51666259765625,643.369873046875,642.92657470703125
146,1992,651.14764404296875,1,1,1529.013785992347,41.4940745963926,56.1130835374228,100.00485229492188,-93.2,0,0,640.6634521484375,634.01312255859375,639.51666259765625,643.369873046875
146,1993,665.358154296875,1,1,1531.5287387208841,41.2412242849258,56.3495480271003,98.345367431640625,-85.2,0,0,651.14764404296875,640.6634521484375,634.01312255859375,639.51666259765625
146,1994,668.58489990234375,1,1,1534.0725420590707,41.0063594793099,56.5758025608931,90.48063659667969,-58.6,0,0,665.358154296875,651.14764404296875,640.6634521484375,634.01312255859375
146,1995,662.63525390625,1,1,1536.6456485394601,40.7706731801942,56.8092098078661,100.80704498291016,-58.5,0,0,668.58489990234375,665.358154296875,651.14764404296875,640.6634521484375
146,1996,667.4666748046875,1,1,1539.2489532826821,40.6499086525639,56.9006619615971,103.10549926757812,-48.5,0,0,662.63525390625,668.58489990234375,665.358154296875,651.14764404296875
146,1997,660.83819580078125,1,1,1541.8752515049346,40.5214730346404,57.0078259392616,97.556365966796875,-48.7,0,0,667.4666748046875,662.63525390625,668.58489990234375,665.358154296875
146,1998,654.3424072265625,1,1,1544.507124252116,40.3965357758976,57.118593203392,104.0919418334961,-74.2,0,0,660.83819580078125,667.4666748046875,662.63525390625,668.58489990234375
146,1999,653.5435791015625,0,1,1547.1233212904172,40.2868282023036,57.2198088817676,111.93780517578125,-78.9,0,0,654.3424072265625,660.83819580078125,667.4666748046875,662.63525390625
146,2000,648.4129638671875,0,1,1549.7092558250242,40.1906866905431,57.311421123469,119.06680297851562,-70.5,0,0,653.5435791015625,654.3424072265625,660.83819580078125,667.4666748046875
146,2001,645.72637939453125,1,1,1552.2589567865814,40.1815399880461,57.2866955024048,114.57345581054688,-64.9,0,0,648.4129638671875,653.5435791015625,654.3424072265625,660.83819580078125
146,2002,643.0380859375,1,1,1554.774717320675,40.1341768784303,57.3046745926792,113.16621398925781,-63.6,0,0,645.72637939453125,648.4129638671875,653.5435791015625,654.3424072265625
146,2003,642.68255615234375,1,1,1557.26045631202,40.0616436240709,57.352985581576,127.4212646484375,-49.4,0,0,643.0380859375,645.72637939453125,648.4129638671875,653.5435791015625
146,2004,642.8975830078125,1,1,1559.7227772114259,39.9753503675391,57.4210511430211,126.19514465332031,-36.7,0,0,642.68255615234375,643.0380859375,645.72637939453125,648.4129638671875
147,1994,806.849365234375,0,1,1746.727603020737,23.6932168419584,65.4079599557548,41.69626998901367,-29.9,1,0,801.90289306640625,798.48724365234375,796.31005859375,803.9385986328125
147,1995,813.43450927734375,0,1,1746.8633240545905,23.1221843155526,65.7984585350382,42.85142517089844,-21.2,1,0,806.849365234375,801.90289306640625,798.48724365234375,796.31005859375
147,1996,819.4105224609375,0,1,1746.9393982369552,22.5536411110672,66.1187220408383,43.35543441772461,-20.1,1,0,813.43450927734375,806.849365234375,801.90289306640625,798.48724365234375
147,1997,826.1915283203125,0,1,1747.00485360638,21.8396371324042,66.5893979668668,47.14748764038086,-20.1,1,0,819.4105224609375,813.43450927734375,806.849365234375,801.90289306640625
147,1998,831.017333984375,0,1,1747.0406069077424,21.0297110224263,67.1614582502449,53.31593704223633,-24.8,1,0,826.1915283203125,819.4105224609375,813.43450927734375,806.849365234375
147,1999,835.45037841796875,0,1,1747.0323041549173,20.2188508745303,67.7454518858308,55.004356384277344,-29.9,1,0,831.017333984375,826.1915283203125,819.4105224609375,813.43450927734375
147,2000,840.1575927734375,0,1,1745.9879687565387,19.4662880731211,68.2867970827545,57.22798156738281,-32.7,1,0,835.45037841796875,831.017333984375,826.1915283203125,819.4105224609375
147,2001,841.8919677734375,0,1,1745.9603816318104,18.6922386032974,68.8000348770619,60.6024169921875,-30.8,1,0,840.1575927734375,835.45037841796875,831.017333984375,826.1915283203125
147,2002,843.3714599609375,0,1,1745.9140626945605,17.9996563760026,69.2430231703316,59.35559844970703,-37.6,1,0,841.8919677734375,840.1575927734375,835.45037841796875,831.017333984375
147,2003,847.2332763671875,0,1,1745.8465699929138,17.3848574455114,69.6359884692366,65.411834716796875,-44.1,1,0,843.3714599609375,841.8919677734375,840.1575927734375,835.45037841796875
147,2004,852.4986572265625,0,1,1745.7880572577867,16.8263236675429,70.0278406803673,73.49695587158203,-51.4,1,0,847.2332763671875,843.3714599609375,841.8919677734375,840.1575927734375
147,2005,856.095703125,0,1,1745.7441083044544,16.3209892887062,70.4360449229886,76.928192138671875,-42.6,1,0,852.4986572265625,847.2332763671875,843.3714599609375,841.8919677734375
147,2006,862.20037841796875,0,1,1745.6807377301618,15.8991311648974,70.7846377493996,78.18126678466797,-49.3,1,0,856.095703125,852.4986572265625,847.2332763671875,843.3714599609375
147,2007,868.8197021484375,0,1,1745.6264327093577,15.5693521379387,71.1049814708207,82.918975830078125,-57.4,1,0,862.20037841796875,856.095703125,852.4986572265625,847.2332763671875
